QYFC-DEMO,qyfc demo
LANGUAGE,Language
ENGLISH,English
CHINESE,Chinese
RELOGIN,Relogin
ABOUT,About
STATIC_TEXT,Static Text
ENABLE_BUTTON,Enable Button
DISABLE_BUTTON,Disable button
POPUP_MENU,Poppup Menu
toolbar item 1,toolbar item 1
THUESDAY,二
